#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-CN-CO_00001
CL1001Contig1	HCGP-CN-CO_00002
CL1002Contig1	HCGP-CN-CO_00003
CL1003Contig1	HCGP-CN-CO_00004
CL1004Contig1	HCGP-CN-CO_00005
CL1005Contig1	HCGP-CN-CO_00006
CL1006Contig1	HCGP-CN-CO_00007
CL1007Contig1	HCGP-CN-CO_00008
CL1008Contig1	HCGP-CN-CO_00009
CL1009Contig1	HCGP-CN-CO_00010
CL100Contig1	HCGP-CN-CO_00011
CL1010Contig1	HCGP-CN-CO_00012
CL1011Contig1	HCGP-CN-CO_00013
CL1012Contig1	HCGP-CN-CO_00014
CL1013Contig1	HCGP-CN-CO_00015
CL1014Contig1	HCGP-CN-CO_00016
CL1015Contig1	HCGP-CN-CO_00017
CL1016Contig1	HCGP-CN-CO_00018
CL1017Contig1	HCGP-CN-CO_00019
CL1018Contig1	HCGP-CN-CO_00020
CL1019Contig1	HCGP-CN-CO_00021
CL101Contig1	HCGP-CN-CO_00022
CL1020Contig1	HCGP-CN-CO_00023
CL1021Contig1	HCGP-CN-CO_00024
CL1022Contig1	HCGP-CN-CO_00025
CL1023Contig1	HCGP-CN-CO_00026
CL1024Contig1	HCGP-CN-CO_00027
CL1025Contig1	HCGP-CN-CO_00028
CL1026Contig1	HCGP-CN-CO_00029
CL1027Contig1	HCGP-CN-CO_00030
CL1028Contig1	HCGP-CN-CO_00031
CL1029Contig1	HCGP-CN-CO_00032
CL1030Contig1	HCGP-CN-CO_00033
CL1031Contig1	HCGP-CN-CO_00034
CL1032Contig1	HCGP-CN-CO_00035
CL1033Contig1	HCGP-CN-CO_00036
CL1034Contig1	HCGP-CN-CO_00037
CL1035Contig1	HCGP-CN-CO_00038
CL1036Contig1	HCGP-CN-CO_00039
CL1037Contig1	HCGP-CN-CO_00040
CL1038Contig1	HCGP-CN-CO_00041
CL103Contig1	HCGP-CN-CO_00042
CL1040Contig1	HCGP-CN-CO_00043
CL1041Contig1	HCGP-CN-CO_00044
CL1042Contig1	HCGP-CN-CO_00045
CL1043Contig1	HCGP-CN-CO_00046
CL1044Contig1	HCGP-CN-CO_00047
CL1045Contig1	HCGP-CN-CO_00048
CL1048Contig1	HCGP-CN-CO_00049
CL104Contig1	HCGP-CN-CO_00050
CL1050Contig1	HCGP-CN-CO_00051
CL1051Contig1	HCGP-CN-CO_00052
CL1052Contig1	HCGP-CN-CO_00053
CL1054Contig1	HCGP-CN-CO_00054
CL1055Contig1	HCGP-CN-CO_00055
CL1056Contig1	HCGP-CN-CO_00056
CL1057Contig1	HCGP-CN-CO_00057
CL1058Contig1	HCGP-CN-CO_00058
CL1059Contig1	HCGP-CN-CO_00059
CL105Contig1	HCGP-CN-CO_00060
CL105Contig2	HCGP-CN-CO_00061
CL1060Contig1	HCGP-CN-CO_00062
CL1061Contig1	HCGP-CN-CO_00063
CL1062Contig1	HCGP-CN-CO_00064
CL1063Contig1	HCGP-CN-CO_00065
CL1064Contig1	HCGP-CN-CO_00066
CL1065Contig1	HCGP-CN-CO_00067
CL1066Contig1	HCGP-CN-CO_00068
CL1068Contig1	HCGP-CN-CO_00069
CL1069Contig1	HCGP-CN-CO_00070
CL106Contig1	HCGP-CN-CO_00071
CL1070Contig1	HCGP-CN-CO_00072
CL1071Contig1	HCGP-CN-CO_00073
CL1072Contig1	HCGP-CN-CO_00074
CL1073Contig1	HCGP-CN-CO_00075
CL1074Contig1	HCGP-CN-CO_00076
CL1075Contig1	HCGP-CN-CO_00077
CL1076Contig1	HCGP-CN-CO_00078
CL1077Contig1	HCGP-CN-CO_00079
CL1078Contig1	HCGP-CN-CO_00080
CL1079Contig1	HCGP-CN-CO_00081
CL107Contig1	HCGP-CN-CO_00082
CL1080Contig1	HCGP-CN-CO_00083
CL1081Contig1	HCGP-CN-CO_00084
CL1082Contig1	HCGP-CN-CO_00085
CL1083Contig1	HCGP-CN-CO_00086
CL1084Contig1	HCGP-CN-CO_00087
CL1086Contig1	HCGP-CN-CO_00088
CL1089Contig1	HCGP-CN-CO_00089
CL108Contig1	HCGP-CN-CO_00090
CL1090Contig1	HCGP-CN-CO_00091
