#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-CT-CO_00001
CL1001Contig1	HCGP-CT-CO_00002
CL1002Contig1	HCGP-CT-CO_00003
CL1003Contig1	HCGP-CT-CO_00004
CL1004Contig1	HCGP-CT-CO_00005
CL1005Contig1	HCGP-CT-CO_00006
CL1006Contig1	HCGP-CT-CO_00007
CL1007Contig1	HCGP-CT-CO_00008
CL1008Contig1	HCGP-CT-CO_00009
CL1009Contig1	HCGP-CT-CO_00010
CL100Contig1	HCGP-CT-CO_00011
CL100Contig2	HCGP-CT-CO_00012
CL1010Contig1	HCGP-CT-CO_00013
CL1011Contig1	HCGP-CT-CO_00014
CL1012Contig1	HCGP-CT-CO_00015
CL1013Contig1	HCGP-CT-CO_00016
CL1014Contig1	HCGP-CT-CO_00017
CL1014Contig2	HCGP-CT-CO_00018
CL1015Contig1	HCGP-CT-CO_00019
CL1016Contig1	HCGP-CT-CO_00020
CL1017Contig1	HCGP-CT-CO_00021
CL1018Contig1	HCGP-CT-CO_00022
CL1019Contig1	HCGP-CT-CO_00023
CL101Contig1	HCGP-CT-CO_00024
CL101Contig2	HCGP-CT-CO_00025
CL1020Contig1	HCGP-CT-CO_00026
CL1021Contig1	HCGP-CT-CO_00027
CL1022Contig1	HCGP-CT-CO_00028
CL1023Contig1	HCGP-CT-CO_00029
CL1024Contig1	HCGP-CT-CO_00030
CL1025Contig1	HCGP-CT-CO_00031
CL1026Contig1	HCGP-CT-CO_00032
CL1027Contig1	HCGP-CT-CO_00033
CL1028Contig1	HCGP-CT-CO_00034
CL1029Contig1	HCGP-CT-CO_00035
CL102Contig1	HCGP-CT-CO_00036
CL1030Contig1	HCGP-CT-CO_00037
CL1030Contig2	HCGP-CT-CO_00038
CL1031Contig1	HCGP-CT-CO_00039
CL1032Contig1	HCGP-CT-CO_00040
CL1032Contig2	HCGP-CT-CO_00041
CL1033Contig1	HCGP-CT-CO_00042
CL1034Contig1	HCGP-CT-CO_00043
CL1035Contig1	HCGP-CT-CO_00044
CL1036Contig1	HCGP-CT-CO_00045
CL1037Contig1	HCGP-CT-CO_00046
