#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-EN-CO_00001
CL1004Contig1	HCGP-EN-CO_00002
CL1005Contig1	HCGP-EN-CO_00003
CL1006Contig1	HCGP-EN-CO_00004
CL1007Contig1	HCGP-EN-CO_00005
CL1008Contig1	HCGP-EN-CO_00006
CL1009Contig1	HCGP-EN-CO_00007
CL100Contig1	HCGP-EN-CO_00008
CL1012Contig1	HCGP-EN-CO_00009
CL1013Contig1	HCGP-EN-CO_00010
CL1014Contig1	HCGP-EN-CO_00011
CL1016Contig1	HCGP-EN-CO_00012
CL1017Contig1	HCGP-EN-CO_00013
CL1018Contig1	HCGP-EN-CO_00014
CL1019Contig1	HCGP-EN-CO_00015
CL101Contig1	HCGP-EN-CO_00016
CL1020Contig1	HCGP-EN-CO_00017
CL1022Contig1	HCGP-EN-CO_00018
CL1023Contig1	HCGP-EN-CO_00019
CL1024Contig1	HCGP-EN-CO_00020
CL1025Contig1	HCGP-EN-CO_00021
CL1027Contig1	HCGP-EN-CO_00022
CL1028Contig1	HCGP-EN-CO_00023
CL1029Contig1	HCGP-EN-CO_00024
CL102Contig1	HCGP-EN-CO_00025
CL1030Contig1	HCGP-EN-CO_00026
CL1031Contig1	HCGP-EN-CO_00027
CL1032Contig1	HCGP-EN-CO_00028
CL1033Contig1	HCGP-EN-CO_00029
CL1035Contig1	HCGP-EN-CO_00030
CL1036Contig1	HCGP-EN-CO_00031
CL1039Contig1	HCGP-EN-CO_00032
CL103Contig1	HCGP-EN-CO_00033
CL1041Contig1	HCGP-EN-CO_00034
CL1042Contig1	HCGP-EN-CO_00035
CL1043Contig1	HCGP-EN-CO_00036
CL1044Contig1	HCGP-EN-CO_00037
CL1045Contig1	HCGP-EN-CO_00038
CL1046Contig1	HCGP-EN-CO_00039
CL1048Contig1	HCGP-EN-CO_00040
CL1049Contig1	HCGP-EN-CO_00041
CL104Contig1	HCGP-EN-CO_00042
CL104Contig2	HCGP-EN-CO_00043
CL1050Contig1	HCGP-EN-CO_00044
CL1051Contig1	HCGP-EN-CO_00045
CL1052Contig1	HCGP-EN-CO_00046
CL1054Contig1	HCGP-EN-CO_00047
CL1056Contig1	HCGP-EN-CO_00048
CL1057Contig1	HCGP-EN-CO_00049
CL1058Contig1	HCGP-EN-CO_00050
CL1059Contig1	HCGP-EN-CO_00051
CL105Contig1	HCGP-EN-CO_00052
CL1060Contig1	HCGP-EN-CO_00053
CL1061Contig1	HCGP-EN-CO_00054
CL1062Contig1	HCGP-EN-CO_00055
CL1063Contig1	HCGP-EN-CO_00056
CL1064Contig1	HCGP-EN-CO_00057
CL1065Contig1	HCGP-EN-CO_00058
CL1066Contig1	HCGP-EN-CO_00059
CL1067Contig1	HCGP-EN-CO_00060
CL1068Contig1	HCGP-EN-CO_00061
CL1069Contig1	HCGP-EN-CO_00062
CL106Contig1	HCGP-EN-CO_00063
CL106Contig2	HCGP-EN-CO_00064
CL1070Contig1	HCGP-EN-CO_00065
CL1072Contig1	HCGP-EN-CO_00066
CL1073Contig1	HCGP-EN-CO_00067
CL1074Contig1	HCGP-EN-CO_00068
CL1075Contig1	HCGP-EN-CO_00069
CL1076Contig1	HCGP-EN-CO_00070
CL1077Contig1	HCGP-EN-CO_00071
CL1078Contig1	HCGP-EN-CO_00072
CL1079Contig1	HCGP-EN-CO_00073
CL107Contig1	HCGP-EN-CO_00074
CL107Contig2	HCGP-EN-CO_00075
CL1080Contig1	HCGP-EN-CO_00076
CL1081Contig1	HCGP-EN-CO_00077
CL1082Contig1	HCGP-EN-CO_00078
CL1083Contig1	HCGP-EN-CO_00079
CL1084Contig1	HCGP-EN-CO_00080
CL1085Contig1	HCGP-EN-CO_00081
CL1087Contig1	HCGP-EN-CO_00082
CL1088Contig1	HCGP-EN-CO_00083
CL1089Contig1	HCGP-EN-CO_00084
CL108Contig1	HCGP-EN-CO_00085
CL1090Contig1	HCGP-EN-CO_00086
CL1091Contig1	HCGP-EN-CO_00087
CL1092Contig1	HCGP-EN-CO_00088
CL1093Contig1	HCGP-EN-CO_00089
CL1094Contig1	HCGP-EN-CO_00090
CL1095Contig1	HCGP-EN-CO_00091
CL1096Contig1	HCGP-EN-CO_00092
CL1097Contig1	HCGP-EN-CO_00093
CL1098Contig1	HCGP-EN-CO_00094
CL1099Contig1	HCGP-EN-CO_00095
CL109Contig1	HCGP-EN-CO_00096
CL10Contig1	HCGP-EN-CO_00097
CL1100Contig1	HCGP-EN-CO_00098
CL1101Contig1	HCGP-EN-CO_00099
CL1102Contig1	HCGP-EN-CO_00100
CL1103Contig1	HCGP-EN-CO_00101
CL1104Contig1	HCGP-EN-CO_00102
CL1105Contig1	HCGP-EN-CO_00103
CL1106Contig1	HCGP-EN-CO_00104
CL1107Contig1	HCGP-EN-CO_00105
CL1108Contig1	HCGP-EN-CO_00106
CL1109Contig1	HCGP-EN-CO_00107
CL110Contig1	HCGP-EN-CO_00108
CL1110Contig1	HCGP-EN-CO_00109
CL1111Contig1	HCGP-EN-CO_00110
CL1112Contig1	HCGP-EN-CO_00111
CL1113Contig1	HCGP-EN-CO_00112
CL1114Contig1	HCGP-EN-CO_00113
CL1115Contig1	HCGP-EN-CO_00114
CL1116Contig1	HCGP-EN-CO_00115
CL1118Contig1	HCGP-EN-CO_00116
CL1119Contig1	HCGP-EN-CO_00117
CL111Contig1	HCGP-EN-CO_00118
CL1120Contig1	HCGP-EN-CO_00119
CL1122Contig1	HCGP-EN-CO_00120
CL1123Contig1	HCGP-EN-CO_00121
CL1124Contig1	HCGP-EN-CO_00122
CL1125Contig1	HCGP-EN-CO_00123
CL1126Contig1	HCGP-EN-CO_00124
CL1127Contig1	HCGP-EN-CO_00125
CL1128Contig1	HCGP-EN-CO_00126
CL1129Contig1	HCGP-EN-CO_00127
CL112Contig1	HCGP-EN-CO_00128
CL112Contig2	HCGP-EN-CO_00129
CL112Contig3	HCGP-EN-CO_00130
CL1130Contig1	HCGP-EN-CO_00131
CL1132Contig1	HCGP-EN-CO_00132
CL1133Contig1	HCGP-EN-CO_00133
CL1134Contig1	HCGP-EN-CO_00134
CL1135Contig1	HCGP-EN-CO_00135
CL1136Contig1	HCGP-EN-CO_00136
CL1137Contig1	HCGP-EN-CO_00137
CL1138Contig1	HCGP-EN-CO_00138
CL1139Contig1	HCGP-EN-CO_00139
CL113Contig1	HCGP-EN-CO_00140
CL1141Contig1	HCGP-EN-CO_00141
CL1142Contig1	HCGP-EN-CO_00142
CL1143Contig1	HCGP-EN-CO_00143
CL1145Contig1	HCGP-EN-CO_00144
CL1146Contig1	HCGP-EN-CO_00145
CL1147Contig1	HCGP-EN-CO_00146
CL1148Contig1	HCGP-EN-CO_00147
CL1149Contig1	HCGP-EN-CO_00148
CL114Contig1	HCGP-EN-CO_00149
CL114Contig2	HCGP-EN-CO_00150
CL1150Contig1	HCGP-EN-CO_00151
CL1151Contig1	HCGP-EN-CO_00152
CL1152Contig1	HCGP-EN-CO_00153
CL1154Contig1	HCGP-EN-CO_00154
CL1156Contig1	HCGP-EN-CO_00155
CL1157Contig1	HCGP-EN-CO_00156
CL1158Contig1	HCGP-EN-CO_00157
CL1159Contig1	HCGP-EN-CO_00158
CL115Contig1	HCGP-EN-CO_00159
CL1162Contig1	HCGP-EN-CO_00160
CL1163Contig1	HCGP-EN-CO_00161
CL1164Contig1	HCGP-EN-CO_00162
CL1165Contig1	HCGP-EN-CO_00163
CL1166Contig1	HCGP-EN-CO_00164
CL1168Contig1	HCGP-EN-CO_00165
CL1169Contig1	HCGP-EN-CO_00166
CL116Contig1	HCGP-EN-CO_00167
CL1170Contig1	HCGP-EN-CO_00168
CL1171Contig1	HCGP-EN-CO_00169
CL1172Contig1	HCGP-EN-CO_00170
CL1174Contig1	HCGP-EN-CO_00171
CL1176Contig1	HCGP-EN-CO_00172
CL1177Contig1	HCGP-EN-CO_00173
