#TGICL_NAME	CONTIG_NAME
CL1002Contig1	HCGP-FT-CO_00001
CL1003Contig1	HCGP-FT-CO_00002
CL1004Contig1	HCGP-FT-CO_00003
CL1006Contig1	HCGP-FT-CO_00004
CL1009Contig1	HCGP-FT-CO_00005
CL100Contig1	HCGP-FT-CO_00006
CL1010Contig1	HCGP-FT-CO_00007
CL1017Contig1	HCGP-FT-CO_00008
CL101Contig1	HCGP-FT-CO_00009
CL101Contig2	HCGP-FT-CO_00010
CL1021Contig1	HCGP-FT-CO_00011
CL1022Contig1	HCGP-FT-CO_00012
CL1024Contig1	HCGP-FT-CO_00013
CL1025Contig1	HCGP-FT-CO_00014
CL1026Contig1	HCGP-FT-CO_00015
CL1027Contig1	HCGP-FT-CO_00016
CL1029Contig1	HCGP-FT-CO_00017
CL102Contig1	HCGP-FT-CO_00018
CL1030Contig1	HCGP-FT-CO_00019
CL1031Contig1	HCGP-FT-CO_00020
CL1032Contig1	HCGP-FT-CO_00021
CL1035Contig1	HCGP-FT-CO_00022
CL1036Contig1	HCGP-FT-CO_00023
CL1038Contig1	HCGP-FT-CO_00024
CL103Contig1	HCGP-FT-CO_00025
CL1040Contig1	HCGP-FT-CO_00026
CL1041Contig1	HCGP-FT-CO_00027
CL1043Contig1	HCGP-FT-CO_00028
CL1045Contig1	HCGP-FT-CO_00029
CL1046Contig1	HCGP-FT-CO_00030
CL1047Contig1	HCGP-FT-CO_00031
CL1048Contig1	HCGP-FT-CO_00032
CL104Contig1	HCGP-FT-CO_00033
CL1050Contig1	HCGP-FT-CO_00034
CL1054Contig1	HCGP-FT-CO_00035
CL1056Contig1	HCGP-FT-CO_00036
CL1057Contig1	HCGP-FT-CO_00037
CL1058Contig1	HCGP-FT-CO_00038
CL105Contig1	HCGP-FT-CO_00039
CL105Contig2	HCGP-FT-CO_00040
CL1061Contig1	HCGP-FT-CO_00041
CL1062Contig1	HCGP-FT-CO_00042
CL1063Contig1	HCGP-FT-CO_00043
CL1064Contig1	HCGP-FT-CO_00044
CL1067Contig1	HCGP-FT-CO_00045
CL1068Contig1	HCGP-FT-CO_00046
CL106Contig1	HCGP-FT-CO_00047
CL1070Contig1	HCGP-FT-CO_00048
CL1071Contig1	HCGP-FT-CO_00049
CL1072Contig1	HCGP-FT-CO_00050
CL1073Contig1	HCGP-FT-CO_00051
CL1077Contig1	HCGP-FT-CO_00052
CL1079Contig1	HCGP-FT-CO_00053
CL107Contig1	HCGP-FT-CO_00054
CL1081Contig1	HCGP-FT-CO_00055
CL1082Contig1	HCGP-FT-CO_00056
CL1084Contig1	HCGP-FT-CO_00057
CL1085Contig1	HCGP-FT-CO_00058
CL1086Contig1	HCGP-FT-CO_00059
CL1087Contig1	HCGP-FT-CO_00060
CL1088Contig1	HCGP-FT-CO_00061
CL1089Contig1	HCGP-FT-CO_00062
CL108Contig1	HCGP-FT-CO_00063
CL1091Contig1	HCGP-FT-CO_00064
CL1092Contig1	HCGP-FT-CO_00065
CL1093Contig1	HCGP-FT-CO_00066
CL1094Contig1	HCGP-FT-CO_00067
CL1095Contig1	HCGP-FT-CO_00068
CL1096Contig1	HCGP-FT-CO_00069
CL1098Contig1	HCGP-FT-CO_00070
CL109Contig1	HCGP-FT-CO_00071
CL10Contig1	HCGP-FT-CO_00072
CL10Contig2	HCGP-FT-CO_00073
CL10Contig3	HCGP-FT-CO_00074
CL10Contig4	HCGP-FT-CO_00075
CL10Contig5	HCGP-FT-CO_00076
CL10Contig7	HCGP-FT-CO_00077
CL10Contig8	HCGP-FT-CO_00078
CL10Contig9	HCGP-FT-CO_00079
CL1100Contig1	HCGP-FT-CO_00080
CL1102Contig1	HCGP-FT-CO_00081
CL1103Contig1	HCGP-FT-CO_00082
CL1104Contig1	HCGP-FT-CO_00083
CL1105Contig1	HCGP-FT-CO_00084
CL1107Contig1	HCGP-FT-CO_00085
CL1108Contig1	HCGP-FT-CO_00086
CL1109Contig1	HCGP-FT-CO_00087
CL110Contig1	HCGP-FT-CO_00088
CL1110Contig1	HCGP-FT-CO_00089
CL1111Contig1	HCGP-FT-CO_00090
CL1112Contig1	HCGP-FT-CO_00091
