#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-HN-CO_00001
CL1002Contig1	HCGP-HN-CO_00002
CL1003Contig1	HCGP-HN-CO_00003
CL1004Contig1	HCGP-HN-CO_00004
CL1005Contig1	HCGP-HN-CO_00005
CL1006Contig1	HCGP-HN-CO_00006
CL1007Contig1	HCGP-HN-CO_00007
CL1008Contig1	HCGP-HN-CO_00008
CL1009Contig1	HCGP-HN-CO_00009
CL100Contig1	HCGP-HN-CO_00010
CL1010Contig1	HCGP-HN-CO_00011
CL1012Contig1	HCGP-HN-CO_00012
CL1013Contig1	HCGP-HN-CO_00013
CL1014Contig1	HCGP-HN-CO_00014
CL1015Contig1	HCGP-HN-CO_00015
CL1019Contig1	HCGP-HN-CO_00016
CL1020Contig1	HCGP-HN-CO_00017
CL1021Contig1	HCGP-HN-CO_00018
CL1022Contig1	HCGP-HN-CO_00019
CL1023Contig1	HCGP-HN-CO_00020
CL1025Contig1	HCGP-HN-CO_00021
CL1026Contig1	HCGP-HN-CO_00022
CL1027Contig1	HCGP-HN-CO_00023
CL1028Contig1	HCGP-HN-CO_00024
CL1029Contig1	HCGP-HN-CO_00025
CL102Contig1	HCGP-HN-CO_00026
CL102Contig2	HCGP-HN-CO_00027
CL1030Contig1	HCGP-HN-CO_00028
CL1031Contig1	HCGP-HN-CO_00029
CL1032Contig1	HCGP-HN-CO_00030
CL1033Contig1	HCGP-HN-CO_00031
CL1035Contig1	HCGP-HN-CO_00032
CL1036Contig1	HCGP-HN-CO_00033
CL1037Contig1	HCGP-HN-CO_00034
CL1038Contig1	HCGP-HN-CO_00035
CL1039Contig1	HCGP-HN-CO_00036
CL103Contig1	HCGP-HN-CO_00037
CL1040Contig1	HCGP-HN-CO_00038
CL1041Contig1	HCGP-HN-CO_00039
CL1042Contig1	HCGP-HN-CO_00040
CL1043Contig1	HCGP-HN-CO_00041
CL1044Contig1	HCGP-HN-CO_00042
CL1045Contig1	HCGP-HN-CO_00043
CL1046Contig1	HCGP-HN-CO_00044
CL1047Contig1	HCGP-HN-CO_00045
CL1049Contig1	HCGP-HN-CO_00046
CL104Contig1	HCGP-HN-CO_00047
CL1050Contig1	HCGP-HN-CO_00048
CL1051Contig1	HCGP-HN-CO_00049
CL1053Contig1	HCGP-HN-CO_00050
CL1054Contig1	HCGP-HN-CO_00051
CL1056Contig1	HCGP-HN-CO_00052
CL1057Contig1	HCGP-HN-CO_00053
CL1058Contig1	HCGP-HN-CO_00054
CL105Contig1	HCGP-HN-CO_00055
