#TGICL_NAME	CONTIG_NAME
CL10000Contig1	HCGP-HT-CO_00001
CL10001Contig1	HCGP-HT-CO_00002
CL10002Contig1	HCGP-HT-CO_00003
CL10003Contig1	HCGP-HT-CO_00004
CL10004Contig1	HCGP-HT-CO_00005
CL10005Contig1	HCGP-HT-CO_00006
CL10007Contig1	HCGP-HT-CO_00007
CL10008Contig1	HCGP-HT-CO_00008
CL10009Contig1	HCGP-HT-CO_00009
CL1000Contig1	HCGP-HT-CO_00010
CL10010Contig1	HCGP-HT-CO_00011
CL10011Contig1	HCGP-HT-CO_00012
CL10012Contig1	HCGP-HT-CO_00013
CL10013Contig1	HCGP-HT-CO_00014
CL10014Contig1	HCGP-HT-CO_00015
CL10015Contig1	HCGP-HT-CO_00016
CL10016Contig1	HCGP-HT-CO_00017
CL10017Contig1	HCGP-HT-CO_00018
CL10018Contig1	HCGP-HT-CO_00019
CL10019Contig1	HCGP-HT-CO_00020
CL1001Contig1	HCGP-HT-CO_00021
CL1001Contig2	HCGP-HT-CO_00022
CL10020Contig1	HCGP-HT-CO_00023
CL10021Contig1	HCGP-HT-CO_00024
CL10022Contig1	HCGP-HT-CO_00025
CL10023Contig1	HCGP-HT-CO_00026
CL10024Contig1	HCGP-HT-CO_00027
CL10026Contig1	HCGP-HT-CO_00028
CL10027Contig1	HCGP-HT-CO_00029
CL10028Contig1	HCGP-HT-CO_00030
CL10029Contig1	HCGP-HT-CO_00031
CL1002Contig1	HCGP-HT-CO_00032
CL10030Contig1	HCGP-HT-CO_00033
CL10031Contig1	HCGP-HT-CO_00034
CL10032Contig1	HCGP-HT-CO_00035
CL10033Contig1	HCGP-HT-CO_00036
CL10034Contig1	HCGP-HT-CO_00037
CL10035Contig1	HCGP-HT-CO_00038
CL10036Contig1	HCGP-HT-CO_00039
CL10037Contig1	HCGP-HT-CO_00040
CL10038Contig1	HCGP-HT-CO_00041
CL10039Contig1	HCGP-HT-CO_00042
CL1003Contig1	HCGP-HT-CO_00043
CL10041Contig1	HCGP-HT-CO_00044
CL10042Contig1	HCGP-HT-CO_00045
CL10043Contig1	HCGP-HT-CO_00046
CL10044Contig1	HCGP-HT-CO_00047
CL10046Contig1	HCGP-HT-CO_00048
CL10047Contig1	HCGP-HT-CO_00049
CL10048Contig1	HCGP-HT-CO_00050
CL10049Contig1	HCGP-HT-CO_00051
CL1004Contig1	HCGP-HT-CO_00052
CL10050Contig1	HCGP-HT-CO_00053
CL10051Contig1	HCGP-HT-CO_00054
CL10052Contig1	HCGP-HT-CO_00055
CL10053Contig1	HCGP-HT-CO_00056
CL10054Contig1	HCGP-HT-CO_00057
CL10055Contig1	HCGP-HT-CO_00058
CL10056Contig1	HCGP-HT-CO_00059
CL10057Contig1	HCGP-HT-CO_00060
CL10058Contig1	HCGP-HT-CO_00061
CL10059Contig1	HCGP-HT-CO_00062
CL1005Contig1	HCGP-HT-CO_00063
CL10060Contig1	HCGP-HT-CO_00064
CL10061Contig1	HCGP-HT-CO_00065
CL10062Contig1	HCGP-HT-CO_00066
CL10063Contig1	HCGP-HT-CO_00067
CL10064Contig1	HCGP-HT-CO_00068
CL10065Contig1	HCGP-HT-CO_00069
CL10066Contig1	HCGP-HT-CO_00070
CL10067Contig1	HCGP-HT-CO_00071
CL10068Contig1	HCGP-HT-CO_00072
CL10069Contig1	HCGP-HT-CO_00073
CL1006Contig1	HCGP-HT-CO_00074
CL10070Contig1	HCGP-HT-CO_00075
CL10071Contig1	HCGP-HT-CO_00076
CL10072Contig1	HCGP-HT-CO_00077
CL10073Contig1	HCGP-HT-CO_00078
CL10074Contig1	HCGP-HT-CO_00079
CL10075Contig1	HCGP-HT-CO_00080
CL10076Contig1	HCGP-HT-CO_00081
CL10077Contig1	HCGP-HT-CO_00082
CL10078Contig1	HCGP-HT-CO_00083
CL10079Contig1	HCGP-HT-CO_00084
CL1007Contig1	HCGP-HT-CO_00085
CL10080Contig1	HCGP-HT-CO_00086
CL10081Contig1	HCGP-HT-CO_00087
CL10082Contig1	HCGP-HT-CO_00088
CL10083Contig1	HCGP-HT-CO_00089
CL10084Contig1	HCGP-HT-CO_00090
CL10085Contig1	HCGP-HT-CO_00091
CL10086Contig1	HCGP-HT-CO_00092
CL10087Contig1	HCGP-HT-CO_00093
CL10088Contig1	HCGP-HT-CO_00094
CL10089Contig1	HCGP-HT-CO_00095
CL1008Contig1	HCGP-HT-CO_00096
CL10090Contig1	HCGP-HT-CO_00097
CL10091Contig1	HCGP-HT-CO_00098
CL10092Contig1	HCGP-HT-CO_00099
CL10093Contig1	HCGP-HT-CO_00100
CL10094Contig1	HCGP-HT-CO_00101
CL10095Contig1	HCGP-HT-CO_00102
CL10096Contig1	HCGP-HT-CO_00103
CL10097Contig1	HCGP-HT-CO_00104
CL10098Contig1	HCGP-HT-CO_00105
CL1009Contig1	HCGP-HT-CO_00106
CL1009Contig2	HCGP-HT-CO_00107
CL100Contig1	HCGP-HT-CO_00108
CL100Contig2	HCGP-HT-CO_00109
CL10100Contig1	HCGP-HT-CO_00110
CL10101Contig1	HCGP-HT-CO_00111
CL10102Contig1	HCGP-HT-CO_00112
CL10103Contig1	HCGP-HT-CO_00113
CL10104Contig1	HCGP-HT-CO_00114
CL10105Contig1	HCGP-HT-CO_00115
CL10106Contig1	HCGP-HT-CO_00116
CL10107Contig1	HCGP-HT-CO_00117
CL10108Contig1	HCGP-HT-CO_00118
CL10109Contig1	HCGP-HT-CO_00119
CL1010Contig1	HCGP-HT-CO_00120
CL1010Contig2	HCGP-HT-CO_00121
CL10110Contig1	HCGP-HT-CO_00122
CL10111Contig1	HCGP-HT-CO_00123
CL10112Contig1	HCGP-HT-CO_00124
CL10113Contig1	HCGP-HT-CO_00125
CL10114Contig1	HCGP-HT-CO_00126
CL10115Contig1	HCGP-HT-CO_00127
CL10116Contig1	HCGP-HT-CO_00128
CL10117Contig1	HCGP-HT-CO_00129
CL10118Contig1	HCGP-HT-CO_00130
CL10119Contig1	HCGP-HT-CO_00131
CL1011Contig1	HCGP-HT-CO_00132
CL10120Contig1	HCGP-HT-CO_00133
CL10121Contig1	HCGP-HT-CO_00134
CL10122Contig1	HCGP-HT-CO_00135
CL10123Contig1	HCGP-HT-CO_00136
CL10124Contig1	HCGP-HT-CO_00137
CL10125Contig1	HCGP-HT-CO_00138
CL10127Contig1	HCGP-HT-CO_00139
CL10128Contig1	HCGP-HT-CO_00140
CL10129Contig1	HCGP-HT-CO_00141
CL1012Contig1	HCGP-HT-CO_00142
CL10130Contig1	HCGP-HT-CO_00143
CL10131Contig1	HCGP-HT-CO_00144
CL10132Contig1	HCGP-HT-CO_00145
CL10133Contig1	HCGP-HT-CO_00146
CL10134Contig1	HCGP-HT-CO_00147
CL10135Contig1	HCGP-HT-CO_00148
CL10136Contig1	HCGP-HT-CO_00149
CL10137Contig1	HCGP-HT-CO_00150
CL10138Contig1	HCGP-HT-CO_00151
CL10139Contig1	HCGP-HT-CO_00152
CL1013Contig1	HCGP-HT-CO_00153
CL10140Contig1	HCGP-HT-CO_00154
CL10141Contig1	HCGP-HT-CO_00155
CL10142Contig1	HCGP-HT-CO_00156
CL10143Contig1	HCGP-HT-CO_00157
CL10144Contig1	HCGP-HT-CO_00158
CL10145Contig1	HCGP-HT-CO_00159
CL10146Contig1	HCGP-HT-CO_00160
CL10147Contig1	HCGP-HT-CO_00161
CL10148Contig1	HCGP-HT-CO_00162
CL10149Contig1	HCGP-HT-CO_00163
CL1014Contig1	HCGP-HT-CO_00164
CL10150Contig1	HCGP-HT-CO_00165
CL10151Contig1	HCGP-HT-CO_00166
CL10152Contig1	HCGP-HT-CO_00167
CL10153Contig1	HCGP-HT-CO_00168
CL10154Contig1	HCGP-HT-CO_00169
CL10155Contig1	HCGP-HT-CO_00170
CL10156Contig1	HCGP-HT-CO_00171
CL10157Contig1	HCGP-HT-CO_00172
CL10158Contig1	HCGP-HT-CO_00173
CL10159Contig1	HCGP-HT-CO_00174
CL1015Contig1	HCGP-HT-CO_00175
CL10160Contig1	HCGP-HT-CO_00176
CL10161Contig1	HCGP-HT-CO_00177
CL10162Contig1	HCGP-HT-CO_00178
CL10163Contig1	HCGP-HT-CO_00179
CL10164Contig1	HCGP-HT-CO_00180
CL10165Contig1	HCGP-HT-CO_00181
CL10166Contig1	HCGP-HT-CO_00182
CL10167Contig1	HCGP-HT-CO_00183
