#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-NN-CO_00001
CL1002Contig1	HCGP-NN-CO_00002
CL1003Contig1	HCGP-NN-CO_00003
CL1004Contig1	HCGP-NN-CO_00004
CL1005Contig1	HCGP-NN-CO_00005
CL1006Contig1	HCGP-NN-CO_00006
CL1007Contig1	HCGP-NN-CO_00007
CL1008Contig1	HCGP-NN-CO_00008
CL1009Contig1	HCGP-NN-CO_00009
CL100Contig1	HCGP-NN-CO_00010
CL1010Contig1	HCGP-NN-CO_00011
CL1011Contig1	HCGP-NN-CO_00012
CL1012Contig1	HCGP-NN-CO_00013
CL1013Contig1	HCGP-NN-CO_00014
CL1014Contig1	HCGP-NN-CO_00015
CL1015Contig1	HCGP-NN-CO_00016
CL1015Contig2	HCGP-NN-CO_00017
CL1016Contig1	HCGP-NN-CO_00018
CL1017Contig1	HCGP-NN-CO_00019
CL1018Contig1	HCGP-NN-CO_00020
CL1019Contig1	HCGP-NN-CO_00021
CL101Contig1	HCGP-NN-CO_00022
CL1020Contig1	HCGP-NN-CO_00023
CL1021Contig1	HCGP-NN-CO_00024
CL1022Contig1	HCGP-NN-CO_00025
CL1023Contig1	HCGP-NN-CO_00026
CL1024Contig1	HCGP-NN-CO_00027
CL1024Contig2	HCGP-NN-CO_00028
CL1025Contig1	HCGP-NN-CO_00029
CL1025Contig2	HCGP-NN-CO_00030
CL1026Contig1	HCGP-NN-CO_00031
CL1027Contig1	HCGP-NN-CO_00032
CL1028Contig1	HCGP-NN-CO_00033
CL1029Contig1	HCGP-NN-CO_00034
CL102Contig1	HCGP-NN-CO_00035
CL1030Contig1	HCGP-NN-CO_00036
CL1031Contig1	HCGP-NN-CO_00037
CL1033Contig1	HCGP-NN-CO_00038
CL1034Contig1	HCGP-NN-CO_00039
CL1035Contig1	HCGP-NN-CO_00040
CL1036Contig1	HCGP-NN-CO_00041
CL1037Contig1	HCGP-NN-CO_00042
CL1039Contig1	HCGP-NN-CO_00043
CL103Contig1	HCGP-NN-CO_00044
CL1040Contig1	HCGP-NN-CO_00045
CL1041Contig1	HCGP-NN-CO_00046
CL1042Contig1	HCGP-NN-CO_00047
CL1043Contig1	HCGP-NN-CO_00048
CL1043Contig2	HCGP-NN-CO_00049
CL1044Contig1	HCGP-NN-CO_00050
CL1045Contig1	HCGP-NN-CO_00051
CL1046Contig1	HCGP-NN-CO_00052
CL1047Contig1	HCGP-NN-CO_00053
CL1047Contig2	HCGP-NN-CO_00054
CL1048Contig1	HCGP-NN-CO_00055
CL1048Contig2	HCGP-NN-CO_00056
CL1049Contig1	HCGP-NN-CO_00057
CL104Contig1	HCGP-NN-CO_00058
CL1050Contig1	HCGP-NN-CO_00059
CL1051Contig1	HCGP-NN-CO_00060
CL1052Contig1	HCGP-NN-CO_00061
CL1053Contig1	HCGP-NN-CO_00062
CL1054Contig1	HCGP-NN-CO_00063
CL1055Contig1	HCGP-NN-CO_00064
CL1055Contig2	HCGP-NN-CO_00065
CL1056Contig1	HCGP-NN-CO_00066
CL1057Contig1	HCGP-NN-CO_00067
CL1057Contig2	HCGP-NN-CO_00068
CL1058Contig1	HCGP-NN-CO_00069
CL1059Contig1	HCGP-NN-CO_00070
CL105Contig1	HCGP-NN-CO_00071
CL1060Contig1	HCGP-NN-CO_00072
CL1061Contig1	HCGP-NN-CO_00073
CL1062Contig1	HCGP-NN-CO_00074
CL1063Contig1	HCGP-NN-CO_00075
CL1064Contig1	HCGP-NN-CO_00076
CL1065Contig1	HCGP-NN-CO_00077
CL1066Contig1	HCGP-NN-CO_00078
CL1067Contig1	HCGP-NN-CO_00079
CL1068Contig1	HCGP-NN-CO_00080
CL1069Contig1	HCGP-NN-CO_00081
CL106Contig1	HCGP-NN-CO_00082
CL1070Contig1	HCGP-NN-CO_00083
CL1070Contig2	HCGP-NN-CO_00084
CL1071Contig1	HCGP-NN-CO_00085
CL1072Contig1	HCGP-NN-CO_00086
CL1073Contig1	HCGP-NN-CO_00087
CL1074Contig1	HCGP-NN-CO_00088
CL1075Contig1	HCGP-NN-CO_00089
CL1076Contig1	HCGP-NN-CO_00090
CL1078Contig1	HCGP-NN-CO_00091
CL1078Contig2	HCGP-NN-CO_00092
CL1079Contig1	HCGP-NN-CO_00093
CL107Contig1	HCGP-NN-CO_00094
CL107Contig2	HCGP-NN-CO_00095
CL1080Contig1	HCGP-NN-CO_00096
CL1081Contig1	HCGP-NN-CO_00097
CL1082Contig1	HCGP-NN-CO_00098
CL1083Contig1	HCGP-NN-CO_00099
CL1084Contig1	HCGP-NN-CO_00100
CL1085Contig1	HCGP-NN-CO_00101
CL1086Contig1	HCGP-NN-CO_00102
CL1087Contig1	HCGP-NN-CO_00103
CL1088Contig1	HCGP-NN-CO_00104
CL1089Contig1	HCGP-NN-CO_00105
CL108Contig1	HCGP-NN-CO_00106
CL108Contig2	HCGP-NN-CO_00107
CL108Contig3	HCGP-NN-CO_00108
CL108Contig4	HCGP-NN-CO_00109
CL108Contig5	HCGP-NN-CO_00110
CL1090Contig1	HCGP-NN-CO_00111
CL1091Contig1	HCGP-NN-CO_00112
CL1092Contig1	HCGP-NN-CO_00113
CL1093Contig1	HCGP-NN-CO_00114
CL1094Contig1	HCGP-NN-CO_00115
CL1095Contig1	HCGP-NN-CO_00116
CL1096Contig1	HCGP-NN-CO_00117
CL1097Contig1	HCGP-NN-CO_00118
CL1098Contig1	HCGP-NN-CO_00119
CL1099Contig1	HCGP-NN-CO_00120
CL109Contig1	HCGP-NN-CO_00121
CL10Contig1	HCGP-NN-CO_00122
CL10Contig2	HCGP-NN-CO_00123
CL1100Contig1	HCGP-NN-CO_00124
CL1101Contig1	HCGP-NN-CO_00125
CL1102Contig1	HCGP-NN-CO_00126
CL1103Contig1	HCGP-NN-CO_00127
CL1104Contig1	HCGP-NN-CO_00128
CL1105Contig1	HCGP-NN-CO_00129
CL1106Contig1	HCGP-NN-CO_00130
CL1107Contig1	HCGP-NN-CO_00131
CL1108Contig1	HCGP-NN-CO_00132
CL1109Contig1	HCGP-NN-CO_00133
CL110Contig1	HCGP-NN-CO_00134
CL1110Contig1	HCGP-NN-CO_00135
CL1111Contig1	HCGP-NN-CO_00136
CL1112Contig1	HCGP-NN-CO_00137
CL1114Contig1	HCGP-NN-CO_00138
CL1115Contig1	HCGP-NN-CO_00139
CL1116Contig1	HCGP-NN-CO_00140
CL1117Contig1	HCGP-NN-CO_00141
CL1118Contig1	HCGP-NN-CO_00142
CL1119Contig1	HCGP-NN-CO_00143
CL111Contig1	HCGP-NN-CO_00144
CL1120Contig1	HCGP-NN-CO_00145
CL1121Contig1	HCGP-NN-CO_00146
CL1122Contig1	HCGP-NN-CO_00147
CL1122Contig2	HCGP-NN-CO_00148
CL1123Contig1	HCGP-NN-CO_00149
CL1124Contig1	HCGP-NN-CO_00150
CL1125Contig1	HCGP-NN-CO_00151
CL1126Contig1	HCGP-NN-CO_00152
CL1127Contig1	HCGP-NN-CO_00153
CL1128Contig1	HCGP-NN-CO_00154
CL1129Contig1	HCGP-NN-CO_00155
CL112Contig1	HCGP-NN-CO_00156
CL1130Contig1	HCGP-NN-CO_00157
CL1131Contig1	HCGP-NN-CO_00158
CL1133Contig1	HCGP-NN-CO_00159
CL1135Contig1	HCGP-NN-CO_00160
CL1136Contig1	HCGP-NN-CO_00161
CL1137Contig1	HCGP-NN-CO_00162
CL1138Contig1	HCGP-NN-CO_00163
CL1139Contig1	HCGP-NN-CO_00164
CL113Contig1	HCGP-NN-CO_00165
CL1140Contig1	HCGP-NN-CO_00166
CL1141Contig1	HCGP-NN-CO_00167
CL1142Contig1	HCGP-NN-CO_00168
CL1143Contig1	HCGP-NN-CO_00169
CL1144Contig1	HCGP-NN-CO_00170
CL1144Contig2	HCGP-NN-CO_00171
CL1145Contig1	HCGP-NN-CO_00172
CL1146Contig1	HCGP-NN-CO_00173
CL1147Contig1	HCGP-NN-CO_00174
CL1148Contig1	HCGP-NN-CO_00175
CL1149Contig1	HCGP-NN-CO_00176
CL1150Contig1	HCGP-NN-CO_00177
CL1150Contig2	HCGP-NN-CO_00178
CL1151Contig1	HCGP-NN-CO_00179
CL1152Contig1	HCGP-NN-CO_00180
CL1153Contig1	HCGP-NN-CO_00181
CL1154Contig1	HCGP-NN-CO_00182
CL1155Contig1	HCGP-NN-CO_00183
CL1156Contig1	HCGP-NN-CO_00184
CL1157Contig1	HCGP-NN-CO_00185
CL1158Contig1	HCGP-NN-CO_00186
CL1159Contig1	HCGP-NN-CO_00187
CL115Contig1	HCGP-NN-CO_00188
CL1160Contig1	HCGP-NN-CO_00189
CL1161Contig1	HCGP-NN-CO_00190
CL1162Contig1	HCGP-NN-CO_00191
CL1163Contig1	HCGP-NN-CO_00192
CL1164Contig1	HCGP-NN-CO_00193
CL1165Contig1	HCGP-NN-CO_00194
CL1166Contig1	HCGP-NN-CO_00195
CL1167Contig1	HCGP-NN-CO_00196
CL1168Contig1	HCGP-NN-CO_00197
CL1169Contig1	HCGP-NN-CO_00198
CL116Contig1	HCGP-NN-CO_00199
CL1170Contig1	HCGP-NN-CO_00200
CL1171Contig1	HCGP-NN-CO_00201
CL1172Contig1	HCGP-NN-CO_00202
CL1173Contig1	HCGP-NN-CO_00203
CL1173Contig2	HCGP-NN-CO_00204
CL1174Contig1	HCGP-NN-CO_00205
CL1175Contig1	HCGP-NN-CO_00206
CL1176Contig1	HCGP-NN-CO_00207
CL1177Contig1	HCGP-NN-CO_00208
CL1179Contig1	HCGP-NN-CO_00209
CL117Contig1	HCGP-NN-CO_00210
CL1180Contig1	HCGP-NN-CO_00211
CL1181Contig1	HCGP-NN-CO_00212
CL1182Contig1	HCGP-NN-CO_00213
CL1183Contig1	HCGP-NN-CO_00214
CL1184Contig1	HCGP-NN-CO_00215
CL1185Contig1	HCGP-NN-CO_00216
CL1186Contig1	HCGP-NN-CO_00217
CL1187Contig1	HCGP-NN-CO_00218
CL1188Contig1	HCGP-NN-CO_00219
CL1189Contig1	HCGP-NN-CO_00220
CL118Contig1	HCGP-NN-CO_00221
CL118Contig2	HCGP-NN-CO_00222
CL118Contig3	HCGP-NN-CO_00223
CL118Contig4	HCGP-NN-CO_00224
CL1190Contig1	HCGP-NN-CO_00225
CL1191Contig1	HCGP-NN-CO_00226
CL1192Contig1	HCGP-NN-CO_00227
CL1193Contig1	HCGP-NN-CO_00228
CL1194Contig1	HCGP-NN-CO_00229
CL1195Contig1	HCGP-NN-CO_00230
CL1196Contig1	HCGP-NN-CO_00231
CL1197Contig1	HCGP-NN-CO_00232
CL1198Contig1	HCGP-NN-CO_00233
CL1199Contig1	HCGP-NN-CO_00234
CL119Contig1	HCGP-NN-CO_00235
CL11Contig1	HCGP-NN-CO_00236
CL1200Contig1	HCGP-NN-CO_00237
CL1201Contig1	HCGP-NN-CO_00238
CL1202Contig1	HCGP-NN-CO_00239
CL1203Contig1	HCGP-NN-CO_00240
CL1204Contig1	HCGP-NN-CO_00241
CL1204Contig2	HCGP-NN-CO_00242
CL1205Contig1	HCGP-NN-CO_00243
CL1206Contig1	HCGP-NN-CO_00244
CL1206Contig2	HCGP-NN-CO_00245
CL1207Contig1	HCGP-NN-CO_00246
CL1208Contig1	HCGP-NN-CO_00247
CL1209Contig1	HCGP-NN-CO_00248
CL120Contig1	HCGP-NN-CO_00249
CL1210Contig1	HCGP-NN-CO_00250
CL1211Contig1	HCGP-NN-CO_00251
CL1212Contig1	HCGP-NN-CO_00252
CL1213Contig1	HCGP-NN-CO_00253
CL1214Contig1	HCGP-NN-CO_00254
CL1215Contig1	HCGP-NN-CO_00255
CL1216Contig1	HCGP-NN-CO_00256
CL1217Contig1	HCGP-NN-CO_00257
CL1218Contig1	HCGP-NN-CO_00258
CL1219Contig1	HCGP-NN-CO_00259
CL121Contig1	HCGP-NN-CO_00260
CL1220Contig1	HCGP-NN-CO_00261
CL1221Contig1	HCGP-NN-CO_00262
CL1222Contig1	HCGP-NN-CO_00263
CL1223Contig1	HCGP-NN-CO_00264
CL1225Contig1	HCGP-NN-CO_00265
CL1226Contig1	HCGP-NN-CO_00266
CL1227Contig1	HCGP-NN-CO_00267
CL1228Contig1	HCGP-NN-CO_00268
CL1229Contig1	HCGP-NN-CO_00269
CL122Contig1	HCGP-NN-CO_00270
CL1230Contig1	HCGP-NN-CO_00271
CL1231Contig1	HCGP-NN-CO_00272
CL1232Contig1	HCGP-NN-CO_00273
CL1233Contig1	HCGP-NN-CO_00274
CL1234Contig1	HCGP-NN-CO_00275
CL1235Contig1	HCGP-NN-CO_00276
CL1237Contig1	HCGP-NN-CO_00277
CL1238Contig1	HCGP-NN-CO_00278
CL1238Contig2	HCGP-NN-CO_00279
CL1239Contig1	HCGP-NN-CO_00280
CL123Contig1	HCGP-NN-CO_00281
CL123Contig2	HCGP-NN-CO_00282
CL1240Contig1	HCGP-NN-CO_00283
CL1241Contig1	HCGP-NN-CO_00284
CL1242Contig1	HCGP-NN-CO_00285
CL1243Contig1	HCGP-NN-CO_00286
CL1244Contig1	HCGP-NN-CO_00287
CL1245Contig1	HCGP-NN-CO_00288
CL1246Contig1	HCGP-NN-CO_00289
CL1247Contig1	HCGP-NN-CO_00290
CL1247Contig2	HCGP-NN-CO_00291
CL1248Contig1	HCGP-NN-CO_00292
CL1248Contig2	HCGP-NN-CO_00293
CL1249Contig1	HCGP-NN-CO_00294
CL124Contig1	HCGP-NN-CO_00295
CL1250Contig1	HCGP-NN-CO_00296
CL1251Contig1	HCGP-NN-CO_00297
CL1252Contig1	HCGP-NN-CO_00298
CL1252Contig2	HCGP-NN-CO_00299
CL1254Contig1	HCGP-NN-CO_00300
CL1255Contig1	HCGP-NN-CO_00301
CL1256Contig1	HCGP-NN-CO_00302
CL1257Contig1	HCGP-NN-CO_00303
CL1257Contig2	HCGP-NN-CO_00304
CL1258Contig1	HCGP-NN-CO_00305
CL1259Contig1	HCGP-NN-CO_00306
CL125Contig1	HCGP-NN-CO_00307
CL1260Contig1	HCGP-NN-CO_00308
CL1261Contig1	HCGP-NN-CO_00309
CL1262Contig1	HCGP-NN-CO_00310
CL1263Contig1	HCGP-NN-CO_00311
CL1264Contig1	HCGP-NN-CO_00312
CL1265Contig1	HCGP-NN-CO_00313
CL1266Contig1	HCGP-NN-CO_00314
CL1267Contig1	HCGP-NN-CO_00315
CL1268Contig1	HCGP-NN-CO_00316
CL1269Contig1	HCGP-NN-CO_00317
CL126Contig1	HCGP-NN-CO_00318
CL1270Contig1	HCGP-NN-CO_00319
CL1271Contig1	HCGP-NN-CO_00320
CL1272Contig1	HCGP-NN-CO_00321
CL1273Contig1	HCGP-NN-CO_00322
CL1274Contig1	HCGP-NN-CO_00323
CL1275Contig1	HCGP-NN-CO_00324
CL1276Contig1	HCGP-NN-CO_00325
CL1277Contig1	HCGP-NN-CO_00326
CL1278Contig1	HCGP-NN-CO_00327
CL1279Contig1	HCGP-NN-CO_00328
CL127Contig1	HCGP-NN-CO_00329
CL1280Contig1	HCGP-NN-CO_00330
CL1281Contig1	HCGP-NN-CO_00331
CL1282Contig1	HCGP-NN-CO_00332
CL1283Contig1	HCGP-NN-CO_00333
CL1284Contig1	HCGP-NN-CO_00334
CL1285Contig1	HCGP-NN-CO_00335
CL1286Contig1	HCGP-NN-CO_00336
CL1287Contig1	HCGP-NN-CO_00337
CL1288Contig1	HCGP-NN-CO_00338
CL1289Contig1	HCGP-NN-CO_00339
CL128Contig1	HCGP-NN-CO_00340
CL128Contig2	HCGP-NN-CO_00341
CL1290Contig1	HCGP-NN-CO_00342
CL1291Contig1	HCGP-NN-CO_00343
CL1292Contig1	HCGP-NN-CO_00344
CL1293Contig1	HCGP-NN-CO_00345
CL1294Contig1	HCGP-NN-CO_00346
CL1295Contig1	HCGP-NN-CO_00347
CL1296Contig1	HCGP-NN-CO_00348
CL1297Contig1	HCGP-NN-CO_00349
CL1298Contig1	HCGP-NN-CO_00350
CL1299Contig1	HCGP-NN-CO_00351
CL129Contig1	HCGP-NN-CO_00352
CL129Contig2	HCGP-NN-CO_00353
CL129Contig3	HCGP-NN-CO_00354
CL129Contig4	HCGP-NN-CO_00355
CL12Contig1	HCGP-NN-CO_00356
CL12Contig2	HCGP-NN-CO_00357
CL12Contig3	HCGP-NN-CO_00358
CL12Contig4	HCGP-NN-CO_00359
CL12Contig5	HCGP-NN-CO_00360
CL1300Contig1	HCGP-NN-CO_00361
CL1301Contig1	HCGP-NN-CO_00362
CL1301Contig2	HCGP-NN-CO_00363
CL1302Contig1	HCGP-NN-CO_00364
CL1303Contig1	HCGP-NN-CO_00365
CL1304Contig1	HCGP-NN-CO_00366
CL1305Contig1	HCGP-NN-CO_00367
CL1306Contig1	HCGP-NN-CO_00368
CL1307Contig1	HCGP-NN-CO_00369
CL1308Contig1	HCGP-NN-CO_00370
CL1309Contig1	HCGP-NN-CO_00371
CL130Contig1	HCGP-NN-CO_00372
CL1310Contig1	HCGP-NN-CO_00373
CL1311Contig1	HCGP-NN-CO_00374
CL1312Contig1	HCGP-NN-CO_00375
CL1313Contig1	HCGP-NN-CO_00376
CL1314Contig1	HCGP-NN-CO_00377
CL1315Contig1	HCGP-NN-CO_00378
CL1316Contig1	HCGP-NN-CO_00379
CL1317Contig1	HCGP-NN-CO_00380
CL1318Contig1	HCGP-NN-CO_00381
CL1319Contig1	HCGP-NN-CO_00382
CL131Contig1	HCGP-NN-CO_00383
CL1321Contig1	HCGP-NN-CO_00384
CL1322Contig1	HCGP-NN-CO_00385
CL1323Contig1	HCGP-NN-CO_00386
CL1324Contig1	HCGP-NN-CO_00387
CL1324Contig2	HCGP-NN-CO_00388
CL1325Contig1	HCGP-NN-CO_00389
CL1326Contig1	HCGP-NN-CO_00390
CL1327Contig1	HCGP-NN-CO_00391
CL1328Contig1	HCGP-NN-CO_00392
CL1329Contig1	HCGP-NN-CO_00393
CL132Contig1	HCGP-NN-CO_00394
CL1331Contig1	HCGP-NN-CO_00395
CL1332Contig1	HCGP-NN-CO_00396
CL1333Contig1	HCGP-NN-CO_00397
CL1334Contig1	HCGP-NN-CO_00398
CL1335Contig1	HCGP-NN-CO_00399
CL1336Contig1	HCGP-NN-CO_00400
CL1337Contig1	HCGP-NN-CO_00401
CL1338Contig1	HCGP-NN-CO_00402
CL1339Contig1	HCGP-NN-CO_00403
CL133Contig1	HCGP-NN-CO_00404
CL133Contig2	HCGP-NN-CO_00405
CL1340Contig1	HCGP-NN-CO_00406
CL1341Contig1	HCGP-NN-CO_00407
CL1342Contig1	HCGP-NN-CO_00408
CL1343Contig1	HCGP-NN-CO_00409
CL1344Contig1	HCGP-NN-CO_00410
CL1345Contig1	HCGP-NN-CO_00411
CL1346Contig1	HCGP-NN-CO_00412
CL1347Contig1	HCGP-NN-CO_00413
CL1348Contig1	HCGP-NN-CO_00414
CL1349Contig1	HCGP-NN-CO_00415
CL134Contig1	HCGP-NN-CO_00416
CL1350Contig1	HCGP-NN-CO_00417
CL1351Contig1	HCGP-NN-CO_00418
CL1352Contig1	HCGP-NN-CO_00419
CL1353Contig1	HCGP-NN-CO_00420
CL1355Contig1	HCGP-NN-CO_00421
CL1356Contig1	HCGP-NN-CO_00422
CL1356Contig2	HCGP-NN-CO_00423
CL1357Contig1	HCGP-NN-CO_00424
CL1358Contig1	HCGP-NN-CO_00425
CL1359Contig1	HCGP-NN-CO_00426
CL135Contig1	HCGP-NN-CO_00427
