#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-NT-CO_00001
CL1001Contig1	HCGP-NT-CO_00002
CL1002Contig1	HCGP-NT-CO_00003
CL1003Contig1	HCGP-NT-CO_00004
CL1004Contig1	HCGP-NT-CO_00005
CL1005Contig1	HCGP-NT-CO_00006
CL1005Contig2	HCGP-NT-CO_00007
CL1006Contig1	HCGP-NT-CO_00008
CL1007Contig1	HCGP-NT-CO_00009
CL1008Contig1	HCGP-NT-CO_00010
CL1008Contig2	HCGP-NT-CO_00011
CL1009Contig1	HCGP-NT-CO_00012
CL100Contig1	HCGP-NT-CO_00013
CL100Contig2	HCGP-NT-CO_00014
CL1010Contig1	HCGP-NT-CO_00015
CL1011Contig1	HCGP-NT-CO_00016
CL1012Contig1	HCGP-NT-CO_00017
CL1013Contig1	HCGP-NT-CO_00018
CL1014Contig1	HCGP-NT-CO_00019
CL1015Contig1	HCGP-NT-CO_00020
CL1016Contig1	HCGP-NT-CO_00021
CL1017Contig1	HCGP-NT-CO_00022
CL1018Contig1	HCGP-NT-CO_00023
CL1019Contig1	HCGP-NT-CO_00024
CL101Contig1	HCGP-NT-CO_00025
CL1020Contig1	HCGP-NT-CO_00026
CL1021Contig1	HCGP-NT-CO_00027
CL1022Contig1	HCGP-NT-CO_00028
CL1023Contig1	HCGP-NT-CO_00029
CL1024Contig1	HCGP-NT-CO_00030
CL1025Contig1	HCGP-NT-CO_00031
CL1026Contig1	HCGP-NT-CO_00032
CL1027Contig1	HCGP-NT-CO_00033
CL1028Contig1	HCGP-NT-CO_00034
CL1029Contig1	HCGP-NT-CO_00035
CL102Contig1	HCGP-NT-CO_00036
CL1030Contig1	HCGP-NT-CO_00037
CL1031Contig1	HCGP-NT-CO_00038
CL1032Contig1	HCGP-NT-CO_00039
CL1033Contig1	HCGP-NT-CO_00040
CL1034Contig1	HCGP-NT-CO_00041
CL1035Contig1	HCGP-NT-CO_00042
CL1036Contig1	HCGP-NT-CO_00043
CL1037Contig1	HCGP-NT-CO_00044
CL1038Contig1	HCGP-NT-CO_00045
CL1039Contig1	HCGP-NT-CO_00046
CL103Contig1	HCGP-NT-CO_00047
CL103Contig2	HCGP-NT-CO_00048
CL1040Contig1	HCGP-NT-CO_00049
CL1041Contig1	HCGP-NT-CO_00050
CL1042Contig1	HCGP-NT-CO_00051
CL1043Contig1	HCGP-NT-CO_00052
CL1044Contig1	HCGP-NT-CO_00053
CL1045Contig1	HCGP-NT-CO_00054
CL1046Contig1	HCGP-NT-CO_00055
CL1047Contig1	HCGP-NT-CO_00056
CL1048Contig1	HCGP-NT-CO_00057
CL1049Contig1	HCGP-NT-CO_00058
CL104Contig1	HCGP-NT-CO_00059
CL1050Contig1	HCGP-NT-CO_00060
CL1051Contig1	HCGP-NT-CO_00061
