#TGICL_NAME	CONTIG_NAME
CL100Contig1	HCGP-SN-CO_00001
CL101Contig1	HCGP-SN-CO_00002
CL102Contig1	HCGP-SN-CO_00003
CL103Contig1	HCGP-SN-CO_00004
CL104Contig1	HCGP-SN-CO_00005
CL105Contig1	HCGP-SN-CO_00006
CL106Contig1	HCGP-SN-CO_00007
CL107Contig1	HCGP-SN-CO_00008
CL108Contig1	HCGP-SN-CO_00009
CL109Contig1	HCGP-SN-CO_00010
CL10Contig1	HCGP-SN-CO_00011
CL10Contig2	HCGP-SN-CO_00012
CL111Contig1	HCGP-SN-CO_00013
CL112Contig1	HCGP-SN-CO_00014
CL113Contig1	HCGP-SN-CO_00015
CL114Contig1	HCGP-SN-CO_00016
CL115Contig1	HCGP-SN-CO_00017
CL116Contig1	HCGP-SN-CO_00018
CL117Contig1	HCGP-SN-CO_00019
CL118Contig1	HCGP-SN-CO_00020
CL119Contig1	HCGP-SN-CO_00021
CL11Contig1	HCGP-SN-CO_00022
CL120Contig1	HCGP-SN-CO_00023
CL123Contig1	HCGP-SN-CO_00024
CL124Contig1	HCGP-SN-CO_00025
CL125Contig1	HCGP-SN-CO_00026
CL126Contig1	HCGP-SN-CO_00027
CL127Contig1	HCGP-SN-CO_00028
CL128Contig1	HCGP-SN-CO_00029
CL129Contig1	HCGP-SN-CO_00030
CL12Contig1	HCGP-SN-CO_00031
CL130Contig1	HCGP-SN-CO_00032
CL131Contig1	HCGP-SN-CO_00033
CL132Contig1	HCGP-SN-CO_00034
CL132Contig2	HCGP-SN-CO_00035
CL133Contig1	HCGP-SN-CO_00036
CL134Contig1	HCGP-SN-CO_00037
CL136Contig1	HCGP-SN-CO_00038
CL136Contig2	HCGP-SN-CO_00039
CL137Contig1	HCGP-SN-CO_00040
CL138Contig1	HCGP-SN-CO_00041
CL139Contig1	HCGP-SN-CO_00042
CL13Contig2	HCGP-SN-CO_00043
CL140Contig1	HCGP-SN-CO_00044
CL141Contig1	HCGP-SN-CO_00045
CL142Contig1	HCGP-SN-CO_00046
CL143Contig1	HCGP-SN-CO_00047
CL144Contig1	HCGP-SN-CO_00048
CL145Contig1	HCGP-SN-CO_00049
CL146Contig1	HCGP-SN-CO_00050
CL147Contig1	HCGP-SN-CO_00051
CL148Contig1	HCGP-SN-CO_00052
CL149Contig1	HCGP-SN-CO_00053
CL14Contig1	HCGP-SN-CO_00054
CL150Contig1	HCGP-SN-CO_00055
CL151Contig1	HCGP-SN-CO_00056
CL152Contig1	HCGP-SN-CO_00057
CL153Contig1	HCGP-SN-CO_00058
CL154Contig1	HCGP-SN-CO_00059
CL155Contig1	HCGP-SN-CO_00060
CL156Contig1	HCGP-SN-CO_00061
CL157Contig1	HCGP-SN-CO_00062
CL158Contig1	HCGP-SN-CO_00063
CL159Contig1	HCGP-SN-CO_00064
CL15Contig1	HCGP-SN-CO_00065
CL161Contig1	HCGP-SN-CO_00066
CL162Contig1	HCGP-SN-CO_00067
CL163Contig1	HCGP-SN-CO_00068
CL164Contig1	HCGP-SN-CO_00069
CL165Contig1	HCGP-SN-CO_00070
CL166Contig1	HCGP-SN-CO_00071
CL167Contig1	HCGP-SN-CO_00072
CL168Contig1	HCGP-SN-CO_00073
CL169Contig1	HCGP-SN-CO_00074
CL16Contig1	HCGP-SN-CO_00075
CL170Contig1	HCGP-SN-CO_00076
CL171Contig1	HCGP-SN-CO_00077
CL172Contig1	HCGP-SN-CO_00078
CL173Contig1	HCGP-SN-CO_00079
CL174Contig1	HCGP-SN-CO_00080
CL175Contig1	HCGP-SN-CO_00081
CL176Contig1	HCGP-SN-CO_00082
CL178Contig1	HCGP-SN-CO_00083
CL179Contig1	HCGP-SN-CO_00084
CL17Contig1	HCGP-SN-CO_00085
CL180Contig1	HCGP-SN-CO_00086
CL181Contig1	HCGP-SN-CO_00087
CL182Contig1	HCGP-SN-CO_00088
CL183Contig1	HCGP-SN-CO_00089
CL184Contig1	HCGP-SN-CO_00090
CL185Contig1	HCGP-SN-CO_00091
CL186Contig1	HCGP-SN-CO_00092
CL187Contig1	HCGP-SN-CO_00093
CL188Contig1	HCGP-SN-CO_00094
CL189Contig1	HCGP-SN-CO_00095
CL18Contig1	HCGP-SN-CO_00096
CL18Contig2	HCGP-SN-CO_00097
CL18Contig3	HCGP-SN-CO_00098
CL190Contig1	HCGP-SN-CO_00099
CL191Contig1	HCGP-SN-CO_00100
CL191Contig2	HCGP-SN-CO_00101
CL192Contig1	HCGP-SN-CO_00102
CL193Contig1	HCGP-SN-CO_00103
