#TGICL_NAME	CONTIG_NAME
CL100Contig1	HCGP-TT-CO_00001
CL101Contig1	HCGP-TT-CO_00002
CL102Contig1	HCGP-TT-CO_00003
CL103Contig1	HCGP-TT-CO_00004
CL104Contig1	HCGP-TT-CO_00005
CL105Contig1	HCGP-TT-CO_00006
CL107Contig1	HCGP-TT-CO_00007
CL108Contig1	HCGP-TT-CO_00008
CL109Contig1	HCGP-TT-CO_00009
CL10Contig1	HCGP-TT-CO_00010
CL110Contig1	HCGP-TT-CO_00011
CL111Contig1	HCGP-TT-CO_00012
CL113Contig1	HCGP-TT-CO_00013
CL115Contig1	HCGP-TT-CO_00014
CL116Contig1	HCGP-TT-CO_00015
CL117Contig1	HCGP-TT-CO_00016
CL118Contig1	HCGP-TT-CO_00017
CL118Contig2	HCGP-TT-CO_00018
CL119Contig1	HCGP-TT-CO_00019
CL11Contig1	HCGP-TT-CO_00020
CL120Contig1	HCGP-TT-CO_00021
CL121Contig1	HCGP-TT-CO_00022
CL122Contig1	HCGP-TT-CO_00023
CL123Contig1	HCGP-TT-CO_00024
CL124Contig1	HCGP-TT-CO_00025
CL125Contig1	HCGP-TT-CO_00026
CL126Contig1	HCGP-TT-CO_00027
CL128Contig1	HCGP-TT-CO_00028
CL129Contig1	HCGP-TT-CO_00029
CL12Contig1	HCGP-TT-CO_00030
CL130Contig1	HCGP-TT-CO_00031
CL131Contig1	HCGP-TT-CO_00032
CL132Contig2	HCGP-TT-CO_00033
CL133Contig1	HCGP-TT-CO_00034
CL134Contig1	HCGP-TT-CO_00035
CL135Contig1	HCGP-TT-CO_00036
CL136Contig1	HCGP-TT-CO_00037
CL137Contig1	HCGP-TT-CO_00038
CL138Contig1	HCGP-TT-CO_00039
CL139Contig1	HCGP-TT-CO_00040
CL13Contig1	HCGP-TT-CO_00041
CL140Contig1	HCGP-TT-CO_00042
CL141Contig1	HCGP-TT-CO_00043
CL143Contig1	HCGP-TT-CO_00044
CL144Contig1	HCGP-TT-CO_00045
CL145Contig1	HCGP-TT-CO_00046
CL146Contig1	HCGP-TT-CO_00047
CL147Contig1	HCGP-TT-CO_00048
CL148Contig1	HCGP-TT-CO_00049
CL149Contig1	HCGP-TT-CO_00050
CL14Contig1	HCGP-TT-CO_00051
CL150Contig1	HCGP-TT-CO_00052
CL151Contig1	HCGP-TT-CO_00053
CL152Contig1	HCGP-TT-CO_00054
CL153Contig1	HCGP-TT-CO_00055
CL154Contig1	HCGP-TT-CO_00056
CL155Contig1	HCGP-TT-CO_00057
CL156Contig1	HCGP-TT-CO_00058
CL157Contig1	HCGP-TT-CO_00059
CL158Contig1	HCGP-TT-CO_00060
CL159Contig1	HCGP-TT-CO_00061
CL15Contig1	HCGP-TT-CO_00062
CL160Contig1	HCGP-TT-CO_00063
CL161Contig1	HCGP-TT-CO_00064
CL162Contig1	HCGP-TT-CO_00065
CL163Contig1	HCGP-TT-CO_00066
CL164Contig1	HCGP-TT-CO_00067
CL165Contig1	HCGP-TT-CO_00068
CL166Contig1	HCGP-TT-CO_00069
CL167Contig1	HCGP-TT-CO_00070
CL168Contig1	HCGP-TT-CO_00071
CL169Contig1	HCGP-TT-CO_00072
CL16Contig1	HCGP-TT-CO_00073
CL170Contig1	HCGP-TT-CO_00074
CL172Contig1	HCGP-TT-CO_00075
CL174Contig1	HCGP-TT-CO_00076
CL175Contig1	HCGP-TT-CO_00077
CL176Contig1	HCGP-TT-CO_00078
CL177Contig1	HCGP-TT-CO_00079
CL178Contig1	HCGP-TT-CO_00080
CL179Contig1	HCGP-TT-CO_00081
CL17Contig3	HCGP-TT-CO_00082
CL180Contig1	HCGP-TT-CO_00083
